title,event,eventTime
著名演员伊德里斯·艾尔巴（海姆达尔饰演者）确诊新冠！,17日凌晨，英国演员伊德里斯-艾尔巴在个人Twitter上宣布，自己确诊新冠。但目前他暂无不良症状，正在家中隔离。这位演员饰演 Marvel 漫威电影系列的海姆达尔应该是国内影迷最为熟悉的角色。,2020-03-17
英国电信CEO确认感染新型冠状病毒,北京时间3月16日消息：据外媒报道，英国电信（BT）集团上周五宣布，该公司CEO Philip Jansen目前被确诊感染新型冠状病毒，目前正进行自我隔离和远程办公。,2020-03-16
“邦女郎”柯瑞兰寇感染新冠状病毒,曾出演《007：大破量子危机》、《翻译疑云》等电影的影星欧嘉·柯瑞兰寇16日通过社交媒体发文称，自己的新冠状病毒检测成阳性，目前正在家隔离当中。,2020-03-16
瓦伦西亚一线队5名球员和技术人员确诊  ,虎扑3月15日讯 瓦伦西亚官方宣布，一线队一共5名技术人员和球员确诊，目前健康状况良好。,2020-03-15
瓦伦西亚球员加雷确诊新冠病毒,虎扑3月15日讯 加雷在ins上宣布了自己感染的消息，写道：“这不是一个开启2020年的好方式，我的新冠病毒检测呈阳性。目前正在关注健康动态，并处于隔离状态。”,2020-03-15
活塞队球员克里斯蒂安-伍德新冠肺炎病毒检测为阳性 ,虎扑3月15日讯 根据The Athletic记者Shams Charania报道，多位消息人士透露，活塞球员克里斯蒂安-伍德新冠肺炎病毒检测结果为阳性。,2020-03-15
西班牙首相夫人确诊新冠肺炎,据西班牙首相办公室消息，西班牙首相桑切斯的妻子贝戈尼娅确诊感染新冠病毒。消息还称，目前首相夫妇身体状况良好。,2020-03-15
印尼国家运输部长新冠检测呈阳性,据印尼媒体消息，印尼运输部长Budi Karya Sumadi新冠病毒检测呈阳性。,2020-03-14
意大利教育部副部长新冠病毒检测呈阳性,据意大利媒体报道，意大利教育部副部长安娜·阿斯卡尼 (Anna Ascani)在社交媒体上发文承认，其新冠病毒检测结果呈阳性。目前，其与卫生部副部长均在隔离中。,2020-03-14
意大利卫生部副部长新冠病毒检测呈阳性 ,据意大利安莎通讯社报道，意大利卫生部副部长Pierpaolo Sileri新冠病毒检测呈阳性。当地时间14日，Sileri在个人脸书账号上宣布了自己检测呈阳性的消息。,2020-03-14
